행정구,공공자전거대여소수,대학생수,면적,배달상점개수,버스정류소수,수준지수,아파트수,운수및창고업사업체수,운수및창고업종사자수,인구밀도,일인가구비율,주문인구수,주차장수,지역내총생산,총인구,총일인가구수,총전입,코로나19확진자,토지공시지가
강남구,145,24333,40,430,540,310,199,3193,11337,13773,33,25901,398603,135157,544055,68999,190650,935,7200000
강동구,111,17032,25,81,388,48,103,5417,9366,18869,28,21499,203140,21123,463998,50316,202874,582,3676000
강북구,60,12724,24,249,412,24,39,3108,6305,13202,35,14895,11107,10286,311569,45685,83250,445,2294000
강서구,162,22970,41,162,600,69,153,7280,50974,14140,35,28048,18858,30233,585901,86172,174396,1339,2620000
관악구,71,20319,30,322,468,26,64,3414,5480,17241,52,23786,153117,11400,509803,129233,196602,1017,3290000
광진구,83,15155,17,4,281,40,64,2495,5240,21105,41,16683,19566,17482,360109,62301,111852,461,3729000
구로구,96,15836,20,2002,502,73,126,4907,9242,21496,31,19319,10643,31963,432488,50971,121770,624,2530000
금천구,60,9046,13,456,359,159,39,2903,8999,19035,41,11076,9152,69247,247835,42334,71506,326,2561000
노원구,119,28474,35,273,536,27,205,6564,11955,14872,28,25273,6780,11883,527032,56438,136352,813,2405000
도봉구,67,14201,21,308,366,23,99,5002,9064,15852,27,15766,9736,10135,327361,34884,80870,574,2282000
동대문구,83,15886,14,10,309,46,93,3523,6520,25114,41,16472,10293,20244,357014,60925,109816,633,3140000
동작구,71,16643,16,384,432,37,105,2231,3644,24555,38,18819,136072,15982,401572,64101,128992,811,3445000
마포구,105,14769,24,26,560,121,114,2914,10892,16011,39,17829,13158,52827,381858,63172,132430,694,4920000
서대문구,74,14523,18,23,456,60,75,2981,5480,18322,38,14863,114661,26183,322952,49863,113008,513,2969000
서초구,136,17472,47,383,622,195,138,1611,10027,9132,28,20484,262735,85327,429025,43942,142500,826,5782000
성동구,82,13539,17,4,447,87,106,2781,8814,17822,35,14228,6659,38084,300505,42585,90306,450,3622000
성북구,75,21335,25,96,606,31,123,3557,6130,18190,34,21060,13084,13736,447056,61510,125906,812,2770000
송파구,184,28359,34,60,429,103,129,5836,14813,19896,29,32085,321938,44826,673926,73694,213856,1119,5040000
양천구,100,21815,17,212,321,35,124,5017,12291,26301,24,21784,11677,15449,457781,39436,128162,728,3050000
영등포구,136,12777,25,614,490,200,140,4167,10822,16595,39,17683,10907,87124,407367,64000,158618,694,3345000
용산구,81,8429,22,16,328,125,61,1205,3951,11188,39,10927,7441,54775,244645,36881,80564,418,5283000
은평구,92,20596,30,257,499,23,111,5172,8809,16292,30,22794,18901,10219,484043,57853,152728,786,2813000
종로구,106,8276,24,4,372,468,25,1436,7606,6649,41,7217,7111,204380,158996,25983,47264,404,3618000
중구,87,4788,10,4,200,967,36,1495,13924,13517,41,6008,4233,422166,134635,22818,41554,283,5610000
중랑구,81,15227,19,7,382,26,90,6550,12496,21603,34,18835,12438,11305,399562,56605,120428,802,2650000
