행정구,공공자전거대여소수,대학생수,버스정류소수,주문인구수,주차장수,지역내총생산,총인구,총전입,코로나19확진자,토지공시지가
강남구,145,24333,540,25901,398603,135157,544055,190650,935,7200000
강동구,111,17032,388,21499,203140,21123,463998,202874,582,3676000
강북구,60,12724,412,14895,11107,10286,311569,83250,445,2294000
강서구,162,22970,600,28048,18858,30233,585901,174396,1339,2620000
관악구,71,20319,468,23786,153117,11400,509803,196602,1017,3290000
광진구,83,15155,281,16683,19566,17482,360109,111852,461,3729000
구로구,96,15836,502,19319,10643,31963,432488,121770,624,2530000
금천구,60,9046,359,11076,9152,69247,247835,71506,326,2561000
노원구,119,28474,536,25273,6780,11883,527032,136352,813,2405000
도봉구,67,14201,366,15766,9736,10135,327361,80870,574,2282000
동대문구,83,15886,309,16472,10293,20244,357014,109816,633,3140000
동작구,71,16643,432,18819,136072,15982,401572,128992,811,3445000
마포구,105,14769,560,17829,13158,52827,381858,132430,694,4920000
서대문구,74,14523,456,14863,114661,26183,322952,113008,513,2969000
서초구,136,17472,622,20484,262735,85327,429025,142500,826,5782000
성동구,82,13539,447,14228,6659,38084,300505,90306,450,3622000
성북구,75,21335,606,21060,13084,13736,447056,125906,812,2770000
송파구,184,28359,429,32085,321938,44826,673926,213856,1119,5040000
양천구,100,21815,321,21784,11677,15449,457781,128162,728,3050000
영등포구,136,12777,490,17683,10907,87124,407367,158618,694,3345000
용산구,81,8429,328,10927,7441,54775,244645,80564,418,5283000
은평구,92,20596,499,22794,18901,10219,484043,152728,786,2813000
종로구,106,8276,372,7217,7111,204380,158996,47264,404,3618000
중구,87,4788,200,6008,4233,422166,134635,41554,283,5610000
중랑구,81,15227,382,18835,12438,11305,399562,120428,802,2650000
