행정구역별	합계	남자	여자
합계	220,696	109,297	111,399
종로구	3,944	1,850	2,094
중구	2,420	1,118	1,302
용산구	4,516	2,204	2,312
성동구	7,061	3,400	3,661
광진구	8,096	3,887	4,209
동대문구	8,185	3,806	4,379
중랑구	7,413	3,775	3,638
성북구	10,516	4,883	5,633
강북구	5,713	2,744	2,969
도봉구	6,232	3,154	3,078
노원구	13,265	6,736	6,529
은평구	10,379	5,265	5,114
서대문구	8,084	3,754	4,330
마포구	8,694	4,089	4,605
양천구	12,030	6,158	5,872
강서구	13,735	6,900	6,835
구로구	8,210	4,174	4,036
금천구	4,421	2,231	2,190
영등포구	6,762	3,454	3,308
동작구	9,087	4,414	4,673
관악구	10,106	4,791	5,315
서초구	11,320	5,731	5,589
강남구	15,785	8,031	7,754
송파구	16,281	8,274	8,007
강동구	8,441	4,474	3,967
