hangjunggu,x,y
강남구,965370.9,1940706.9
강남구,961632.4,1942118.34
강남구,961375.71,1942060.45
강남구,961582.13,1942273.72
강남구,961210.42,1947083.91
송파구,965586.16,1944818.05
송파구,966347.38,1947766.4
송파구,965749.44,1946482.16
송파구,965996.23,1945199.45
송파구,968197.6,1945323.6
송파구,967250,1941054.99
송파구,967974.4,1942018.6
송파구,968105.4,1942408.5
송파구,967796.1,1942228.8
송파구,967676.56,1942224.21
송파구,968813,1942364.4
송파구,969725.6,1943455.1
송파구,969513.04,1943418.57
송파구,969058.3,1943559.49
송파구,968850.4,1943912.9
송파구,969118.47,1944093.45
송파구,969269.29,1944209.61
송파구,968437.12,1943362.59
송파구,968184.6,1945328.9
강동구,971234.4,1951734.3
강동구,971188,1950939.4
강동구,971089.9,1950895.3
강동구,969416.44,1951075.22
강동구,969638.41,1950690.33
강동구,969386.56,1950350.26
강동구,967764.5,1951739
강동구,967625.37,1951664.3
강동구,968137.61,1950235
강동구,967104.41,1950691.75
강동구,967172.71,1949012.02
강동구,966935.08,1949014.51
강동구,966819.47,1948978.23
강동구,966757.93,1948773.33
강동구,967580.72,1948499.78
강동구,969299.6,1948763
강동구,968781.65,1948472.03
강동구,968873.07,1948451.4
강동구,968897.26,1948398.76
강동구,968747.85,1948281.37
강동구,968805.48,1948261.8
강동구,968620.5,1947830.31
강동구,967885.2,1947616.2
강동구,968242.4,1947187.9
강동구,968495.6,1947118.1
강동구,967720.2,1947091.1
강동구,968048.94,1946787.12
영등포구,947073,1948576.1
영등포구,945393.7,1947344.5
영등포구,947062.1,1946761.2
영등포구,946695.9,1946810
영등포구,946872.2,1946658.1
영등포구,946226.6,1946020.6
영등포구,946896.65,1945657.74
영등포구,947060.78,1945648.92
영등포구,947329.35,1945739.8
영등포구,947966.87,1946146.05
영등포구,948258.5,1946207.09
영등포구,948346,1945931.1
영등포구,948850.6,1945874.1
영등포구,948266,1945191.8
영등포구,948221.2,1945252.8
영등포구,947986.5,1945473.9
영등포구,947749.2,1945592
영등포구,947719.3,1945560.8
영등포구,947637.9,1945468.5
영등포구,947445.3,1945437.3
영등포구,947766.8,1944962.6
영등포구,947617.6,1944760.5
영등포구,948503.3,1944848.6
영등포구,948507.4,1944669.6
영등포구,947829.2,1944718.4
영등포구,947140.1,1944181.3
영등포구,947156.4,1944146
영등포구,947366.7,1943954.7
영등포구,947377.5,1943401.3
영등포구,947087.2,1943374.2
영등포구,946909.5,1943357.9
영등포구,946875.6,1943334.9
영등포구,946982.8,1943275.2
영등포구,946977.4,1943242.6
동작구,947319.2,1943102.9
동작구,949033.7,1944455.3
동작구,949401.3,1944132.4
동작구,950154.1,1945456.3
동작구,950447.1,1945303
동작구,951364,1946302.7
동작구,951552.6,1946119.6
동작구,951354.5,1946064
동작구,951210.8,1945483.4
동작구,951968.3,1945648.9
동작구,952415.9,1945467.2
동작구,952462.1,1945442.7
동작구,952508.2,1945433.2
동작구,952426.8,1945392.6
동작구,952200.27,1944736.05
동작구,952291.83,1944695.35
동작구,954307.48,1944475.61
동작구,954202.7,1944096.15
동작구,950813,1945236.9
동작구,951120.9,1945154.2
동작구,950875.4,1945104
동작구,950832,1945048.4
동작구,950912,1945034.8
동작구,951042.2,1944870.7
동작구,950794,1944789.3
동작구,950096.8,1944656.4
동작구,950109,1944314.5
동작구,950370.8,1944347.1
동작구,950784.5,1944336.2
동작구,951154.8,1944866.6
동작구,951683.8,1945182.7
동작구,951675.7,1945148.7
동작구,951690.6,1945140.6
동작구,951692,1945118.9
동작구,951755.7,1945005
동작구,951685.2,1944900.5
동작구,951682.5,1944886.9
동작구,951671.6,1944604.8
동작구,953148.8,1943162.9
동작구,953760.5,1942869.9
동작구,953080.9,1942209.4
동작구,952528.9,1943785.5
동작구,952964.3,1942821.1
동작구,954018.2,1942921.5
관악구,947648.5,1942986.6
관악구,948242.6,1942476.6
관악구,948684.8,1942064.2
관악구,949618,1941565.1
관악구,950125.3,1943143.9
관악구,950920.1,1942967.6
관악구,951137.2,1943195.5
관악구,952268.4,1943713.6
관악구,952292.9,1942807.5
관악구,951028.7,1942625.8
관악구,950792.6,1942661.1
관악구,950697.7,1942460.3
관악구,950496.9,1942297.5
관악구,952322.1,1941875.6
강남구,961669.1,1946376
강남구,958451.9,1944977.12
관악구,950815,1940950.3
송파구,961914.4,1946291.2
송파구,962719.9,1945767.7
송파구,966257.1,1942879.3
영등포구,948732.3,1947408
강동구,966606.6,1949558.8
강동구,971063.4,1951879.6
강서구,938450.68,1954385.46
강서구,940017.33,1952495.38
강서구,938905.76,1951401.65
강서구,941488.82,1951204.41
강서구,942388.04,1951133.36
강서구,942610.84,1950979.05
강서구,941542.19,1949773.11
강서구,944112.87,1950289.76
